epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
154,47979.8,1.47756,2.78441,0.69652,0.80693,0.63191,0.71211,0.39615,1.43717,2.49933,0.67397,0.0024265,0.0024265,0.0024265
155,48247.8,1.47384,2.80687,0.69814,0.81464,0.62838,0.71107,0.39578,1.44128,2.49631,0.6743,0.002377,0.002377,0.002377
156,48515.8,1.46709,2.79244,0.69421,0.82044,0.62702,0.71289,0.39574,1.4373,2.49113,0.67375,0.0023275,0.0023275,0.0023275
157,48784.5,1.46772,2.78956,0.69751,0.81752,0.6242,0.71418,0.39606,1.43893,2.4953,0.67322,0.002278,0.002278,0.002278
158,49054.1,1.46252,2.74603,0.69784,0.81669,0.62638,0.71374,0.39686,1.43802,2.48736,0.67345,0.0022285,0.0022285,0.0022285
159,49323.4,1.47283,2.77561,0.69686,0.80943,0.63022,0.71343,0.39674,1.43554,2.48167,0.67293,0.002179,0.002179,0.002179
160,49594,1.46381,2.74692,0.69325,0.8106,0.63139,0.71396,0.39731,1.43545,2.47949,0.6723,0.0021295,0.0021295,0.0021295
161,49863.7,1.4595,2.74823,0.6952,0.80494,0.63315,0.71253,0.39674,1.43836,2.47728,0.67254,0.00208,0.00208,0.00208
162,50136.3,1.45613,2.72331,0.69161,0.81361,0.62988,0.71359,0.39764,1.43641,2.48081,0.67159,0.0020305,0.0020305,0.0020305
163,50405.6,1.45337,2.71421,0.69216,0.81043,0.63222,0.71407,0.39743,1.43614,2.47685,0.67228,0.001981,0.001981,0.001981
164,50675.2,1.45606,2.72192,0.69329,0.81191,0.63155,0.71458,0.39706,1.43799,2.48071,0.67288,0.0019315,0.0019315,0.0019315
165,50945.3,1.46149,2.7354,0.69403,0.80701,0.63638,0.71469,0.39781,1.43587,2.47812,0.67255,0.001882,0.001882,0.001882
166,51214.5,1.46685,2.75912,0.69445,0.81278,0.635,0.71539,0.3987,1.43377,2.47883,0.67206,0.0018325,0.0018325,0.0018325
167,51483.5,1.46387,2.7318,0.69169,0.81108,0.63557,0.715,0.39846,1.43391,2.47152,0.67201,0.001783,0.001783,0.001783
168,51752.8,1.45776,2.71563,0.69405,0.80652,0.63892,0.71687,0.39967,1.43352,2.47837,0.67188,0.0017335,0.0017335,0.0017335
169,52022.4,1.46019,2.72903,0.69178,0.80735,0.63967,0.71742,0.39943,1.43474,2.47246,0.67126,0.001684,0.001684,0.001684
170,52290.7,1.45571,2.71174,0.69184,0.80783,0.64053,0.71665,0.40011,1.43303,2.47094,0.67106,0.0016345,0.0016345,0.0016345
171,52558.2,1.44168,2.68232,0.69039,0.80462,0.63997,0.71647,0.40054,1.43318,2.46797,0.67124,0.001585,0.001585,0.001585
172,52826.8,1.45427,2.71411,0.69096,0.8044,0.6403,0.71689,0.401,1.43251,2.47209,0.67122,0.0015355,0.0015355,0.0015355
173,53095.8,1.44326,2.69079,0.69197,0.81316,0.63653,0.7179,0.40236,1.43191,2.47104,0.67144,0.001486,0.001486,0.001486
174,53366.2,1.44517,2.66199,0.69009,0.81271,0.63383,0.71785,0.40206,1.43385,2.47366,0.67158,0.0014365,0.0014365,0.0014365
175,53635,1.45112,2.72077,0.69016,0.8106,0.63749,0.71977,0.40228,1.43324,2.47029,0.67144,0.001387,0.001387,0.001387
176,53904.8,1.45524,2.70336,0.68862,0.80885,0.63976,0.7205,0.40222,1.43183,2.47112,0.67089,0.0013375,0.0013375,0.0013375
